,index,ICAO Empresa Aérea,Número Voo,Código Autorização (DI),Código Tipo Linha,ICAO Aeródromo Origem,ICAO Aeródromoo Destino
16158,1223679,TAM,9050,0,N,SBGR,SBSV
16159,1223720,AZU,9205,0,N,SBGR,SBPA
16160,1223724,TAM,9432,6,N,SBCT,SBGR
16161,1223735,AZU,9555,7,N,SBGR,SBGL
16162,1223756,GLO,1326,4,N,SBCF,SBBR
16163,1223778,AZU,9556,7,N,SBGL,SBGR
16164,1223779,TAM,9065,0,N,SBBR,SBIZ
16165,1223780,TAM,3370,0,N,SBGL,SBFZ
16166,1223784,TAM,3334,0,N,SBCF,SBGR
16167,1223785,TAM,3672,0,N,SBPA,SBMO
16168,1223789,TAM,9048,0,N,SBGR,SBPS
16169,1223811,TAM,3501,0,N,SBGL,SBGR
16170,1223812,TAM,3829,4,N,SBBR,SBGL
16171,1223814,TAM,4554,0,N,SBGR,SBBE
16172,1223815,TAM,9183,0,N,SBGL,SBEG
16173,1223831,AZU,9291,0,N,SBPA,SBCT
16174,1223833,TAM,3676,0,N,SBGR,SBCG
16175,1223838,TAM,3312,0,N,SBGR,SBFZ
16176,1223840,TAM,4550,0,N,SBGR,SBCF
16177,1223841,TAM,3391,0,N,SBGR,SBFI
16178,1223846,TAM,9420,3,N,SBGR,SBGL
16179,1223848,TAM,3142,0,N,SBGR,SBGO
16180,1223850,GLO,9000,1,N,SBBR,SBMK
16181,1223859,TAM,4777,0,N,SBGR,SBCT
16182,1223860,TAM,9425,6,N,SBSP,SBSV
16183,1223862,TAM,4614,0,N,SBGR,SBSL
16184,1223872,TAM,4684,0,N,SBGR,SBVT
16185,1223877,TAM,3466,0,N,SBGR,SBPA
16186,1223881,TAM,3682,0,N,SBGL,SBGR
16187,1223901,TAM,3333,0,N,SBGR,SBFZ
16188,1223910,TAM,3371,0,N,SBGR,SBFL
16189,1223915,TAM,3476,0,N,SBGR,SBSV
16190,1223918,TAM,3686,0,N,SBGR,SBUL
16191,1223941,TAM,3169,0,N,SBGR,SBJP
16192,1223945,TAM,9301,9,N,SBCF,SBPS
16193,1223946,TAM,3896,0,N,SBGR,SBSG
16194,1223988,TAM,9006,0,N,SBGL,SBGR
16195,1224006,TAM,3343,0,N,SBRF,SBGR
16196,1224013,TAM,3664,0,N,SBGR,SBCF
16197,1224020,GLO,1538,0,N,SBGR,SBJE
16198,1224029,TAM,3515,0,N,SBCT,SBGR
16199,1224044,TAM,9322,9,N,SBGR,SBCN
16200,1224050,TAM,3554,0,N,SBGR,SBSV
16201,1224066,TAM,3320,0,N,SBGR,SBMO
16202,1224071,TAM,3356,0,N,SBGR,SBEG
16203,1224085,TAM,4563,0,N,SBCT,SBGR
16204,1224086,TAM,3491,0,N,SBBR,SBSG
16205,1224089,TAM,3707,0,N,SBGR,SBPS
16206,1224100,TAM,3692,0,N,SBGR,SBBR
16207,1224109,TAM,3785,0,N,SBBR,SBKP
16208,1224120,TAM,4616,0,N,SBPA,SBGR
16209,1224122,GLO,1598,0,N,SBGR,SBPS
16210,1224124,TAM,9005,2,N,SBSP,SBIL
16211,1224126,TAM,3558,0,N,SBCF,SBGR
16212,1224144,TAM,3894,0,N,SBGR,SBSG
16213,1224149,TAM,3530,0,N,SBGR,SBSL
16214,1224154,TAM,4537,0,N,SBGR,SBGL
16215,1224163,TAM,3390,0,N,SBGR,SBCF
16216,1224187,TAM,3644,0,N,SBGR,SBFL
16217,1224192,AZU,9051,0,N,SBGL,SBCF
16218,1224193,TAM,3185,0,N,SBGR,SBCT
16219,1224202,TAM,3331,0,N,SBGR,SBSV
16220,1224206,AZU,6990,0,N,SBKP,SBGL
16221,1224212,TAM,3278,0,N,SBBR,SBFZ
16222,1224213,TAM,3248,0,N,SBGR,SBPA
16223,1224218,TAM,3602,0,N,SBGR,SBRF
16224,1224272,TAM,3366,0,N,SBGR,SBJP
16225,1224274,TAM,3625,0,N,SBBR,SBGR
16226,1224287,TAM,3784,0,N,SBGR,SBVT
16227,1224293,TAM,4633,0,N,SBCF,SBGR
16228,1224297,TAM,3475,0,N,SBGL,SBGR
16229,1224302,TAM,3306,0,N,SBGR,SBMO
16230,1224310,TAM,4610,0,N,SBCT,SBGR
16231,1224322,TAM,3293,0,N,SBGR,SBCT
16232,1224329,PTB,2256,4,N,SBGR,SBRP
16233,1224334,TAM,4617,0,N,SBGR,SBFZ
16234,1224340,TAM,3859,0,N,SBCF,SBSV
16235,1224358,TAM,3439,0,N,SBPA,SBSP
16236,1224359,TAM,3612,0,N,SBGR,SBSV
16237,1224390,TAM,3771,0,N,SBSP,SBNF
16238,1224407,TAM,3509,0,N,SBGR,SBBE
16239,1224413,TAM,3397,0,N,SBSP,SBUL
16240,1224420,TAM,3399,0,N,SBGR,SBLO
16241,1224426,TAM,3772,0,N,SBGR,SBCG
16242,1224428,TAM,3546,0,N,SBGR,SBFI
16243,1224441,TAM,3662,0,N,SBGR,SBFL
16244,1224445,TAM,3708,0,N,SBCT,SBGR
16245,1224446,TAM,3742,0,N,SBGR,SBPA
16246,1224451,TAM,3592,0,N,SBGR,SBCT
16247,1224464,TAM,3321,0,N,SBRF,SBGR
16248,1224468,TAM,3260,0,N,SBGR,SBPS
16249,1224477,TAM,3868,0,N,SBGR,SBGO
16250,1224504,TAM,3113,0,N,SBGR,SBGL
16251,1224506,TAM,3330,0,N,SBGR,SBCF
16252,1224551,TAM,3532,0,N,SBGR,SBGL
16253,1224578,TAM,3304,0,N,SBSP,SBRP
16254,1224583,GLO,1086,3,N,SBGR,SBGR
16255,1224589,TAM,3436,0,N,SBGR,SBRF
16256,1224618,TAM,3266,0,N,SBGR,SBCT
16257,1224629,TAM,3326,0,N,SBGR,SBFZ
16258,1224643,TAM,3375,0,N,SBGL,SBGR
16259,1224673,TAM,3563,0,N,SBRF,SBGR
16260,1224674,TAM,3296,0,N,SBRJ,SBGR
16261,1224684,TAM,4629,0,N,SBPA,SBGR
16262,1224704,TAM,3809,0,N,SBGR,SBSV
16263,1224721,TAM,3386,0,N,SBGR,SBPA
16264,1224728,TAM,4728,0,N,SBGR,SBEG
16265,1224729,TAM,3750,0,N,SBGR,SBCT
16266,1224733,TAM,3381,0,N,SBBR,SBGR
16267,1224737,TAM,3105,0,N,SBSP,SBCF
16268,1224738,TAM,3582,0,N,SBGR,SBGL
16269,1224739,TAM,3019,0,N,SBSP,SBVT
16270,1224765,TAM,4619,0,N,SBPA,SBGR
16271,1224784,TAM,3171,0,N,SBSP,SBSV
16272,1224813,TAM,4601,0,N,SBPA,SBGR
16273,1224817,TAM,3648,0,N,SBRJ,SBCF
16274,1224830,TAM,3489,0,N,SBCT,SBGR
16275,1224832,TAM,3354,0,N,SBSP,SBPA
16276,1224853,AZU,9293,0,N,SBGR,SBGO
16277,1224862,TAM,4686,0,N,SBGR,SBFZ
16278,1224865,AZU,5701,0,N,SBGR,SBPA
16279,1224875,TAM,3076,0,N,SBSP,SBFL
16280,1224883,TAM,3308,0,N,SBGR,SBFL
16281,1224887,TAM,4501,0,N,SBGR,SBCF
16282,1224888,TAM,3666,0,N,SBGR,SBBE
16283,1224899,TAM,3235,0,N,SBGL,SBGR
16284,1224904,TAM,3757,0,N,SBSP,SBCT
16285,1224908,TAM,3739,0,N,SBGR,SBSG
16286,1224911,TAM,4504,0,N,SBGR,SBFZ
16287,1224913,AZU,4480,0,N,SBPA,SBGR
16288,1224919,UAL,148,1,I,SBGR,SBBR
16289,1224940,TAM,3324,0,N,SBGR,SBPV
16290,1224954,TAM,3846,0,N,SBCT,SBGR
16291,1224961,TAM,4650,0,N,SBGR,SBTE
16292,1224965,TAM,3358,0,N,SBGR,SBMO
16293,1224968,TAM,3335,0,N,SBGR,SBIZ
16294,1225003,TAM,3398,0,N,SBGR,SBAR
16295,1225007,TAM,3094,0,N,SBBR,SBRF
16296,1225010,TAM,3438,0,N,SBBR,SBMO
16297,1225011,TAM,3310,0,N,SBGR,SBSV
16298,1225013,TAM,3982,0,N,SBGR,SBCT
16299,1225014,TAM,3442,0,N,SBGR,SBSV
16300,1225015,TAM,4513,0,N,SBGR,SBJP
16301,1225016,ONE,6056,1,N,SBGR,SBSV
16302,1225017,TAM,3557,0,N,SBGR,SBRF
16303,1225019,TAM,4624,0,N,SBGR,SBFI
16304,1225030,TAM,3143,0,N,SBRF,SBBR
16305,1225033,TAM,3441,0,N,SBCT,SBGR
16306,1225035,TAM,4538,0,N,SBGR,SBVT
16307,1225043,TAM,3524,0,N,SBGR,SBPA
16308,1225044,TAM,3299,0,N,SBGR,SBFZ
16309,1225054,TAM,3503,0,N,SBPA,SBGR
16310,1225104,TAM,3234,0,N,SBGR,SBBR
16311,1225110,CLX,7651,0,G,SBKP,SBPL
16312,1225127,TAM,3212,0,N,SBRF,SBGR
16313,1225129,GLO,1074,0,N,SBSP,SBGL
16314,1225166,TAM,3204,0,N,SBSP,SBLO
16315,1225174,TAM,3255,0,N,SBSP,SBJV
16316,1225183,TAM,3352,0,N,SBBR,SBCG
16317,1225260,TAM,3344,0,N,SBGR,SBSR
16318,1225300,TAM,3387,0,N,SBCT,SBGR
16319,1225310,TAM,9001,2,N,SBBR,SBCF
16320,1225329,TAM,3228,0,N,SBGR,SBFL
16321,1225333,TAM,3437,0,N,SBRF,SBGR
16322,1225351,TAM,3394,0,N,SBGR,SBRF
16323,1225365,TAM,3035,0,N,SBSP,SBCT
16324,1225386,TAM,3578,0,N,SBGL,SBGR
16325,1225388,TAM,3325,0,N,SBCF,SBGR
16326,1225394,TAM,3450,0,N,SBGL,SBFI
16327,1225421,TAM,3504,0,N,SBGR,SBLO
16328,1225466,TAM,3574,0,N,SBGR,SBPA
16329,1225475,TAM,3145,0,N,SBBR,SBGR
16330,1225520,TAM,3362,0,N,SBGR,SBFL
16331,1225522,TAM,3388,0,N,SBSP,SBSV
16332,1225535,MWM,9713,5,C,SBGL,SBBE
16333,1225548,MWM,9714,5,C,SBGL,SBSV
16334,1225558,TAM,3032,0,N,SBCT,SBSP
16335,1225599,TAM,3454,0,N,SBRF,SBFZ
16336,1225605,TAM,3762,0,N,SBCF,SBSP
16337,1225618,PTB,2241,1,N,SBBR,SBRP
16338,1225631,GLO,1276,0,N,SBGR,SBCX
16339,1225642,TAM,3360,0,N,SBGR,SBFZ
16340,1225644,TAM,4632,0,N,SBGR,SBPA
16341,1225663,TAM,4709,0,N,SBBR,SBSV
16342,1225664,TAM,3632,0,N,SBGR,SBRJ
16343,1225687,TAM,3139,0,N,SBRF,SBGR
16344,1225746,GLO,2039,3,N,SBBR,SBBR
16345,1225747,TAM,9002,2,N,SBGR,SBRF
16346,1225748,LTG,8487,0,G,SBRF,SBEG
16347,1225749,TAM,3123,0,N,SBSP,SBFL
16348,1225789,TAM,3633,0,N,SBRJ,SBGR
16349,1225793,TAM,3302,0,N,SBGR,SBSG
16350,1225795,TAM,3564,0,N,SBGR,SBAE
16351,1225803,TAM,3096,0,N,SBGR,SBGL
16352,1225813,TAM,3559,0,N,SBGR,SBCG
16353,1225814,AZU,9642,6,N,SBRJ,SBIP
16354,1225829,LAE,2897,0,G,SBKP,SBPA
16355,1225835,TAM,9003,2,N,SBBR,SBSN
16356,1225836,AZU,9354,1,N,SBCF,SBUR
16357,1225861,TAM,3448,0,N,SBGL,SBSG
16358,1225874,TAM,4613,0,N,SBPA,SBGR
16359,1225896,AZU,4440,0,N,SBCF,SBGO
16360,1225956,TAM,3337,0,N,SBGR,SBPA
16361,1225960,TAM,4611,0,N,SBGR,SBVT
16362,1225965,TAM,4689,0,N,SBGR,SBBR
16363,1225999,TAM,3510,0,N,SBGR,SBCT
16364,1226032,AZU,2652,0,N,SBPA,SBCT
16365,1226124,AZU,2653,0,N,SBCT,SBPA
16366,1226126,TAM,3178,0,N,SBGR,SBPA
16367,1226132,TAM,3405,0,N,SBBR,SBSV
16368,1226163,TAM,3498,0,N,SBGR,SBSR
16369,1226169,TAM,3773,0,N,SBBR,SBPJ
16370,1226199,TAM,9041,0,N,SBCF,SBGR
16371,1226203,TAM,3374,0,N,SBCF,SBSP
16372,1226211,TAM,3037,0,N,SBCT,SBGR
16373,1226294,AZU,9264,0,N,SBGR,SBGO
16374,1226358,TAM,3512,0,N,SBGR,SBRF
16375,1226389,AZU,5333,0,N,SBGR,SBPA
16376,1226401,TAM,4779,0,N,SBPA,SBGR
16377,1226487,AZU,9227,0,N,SBKP,SBVT
16378,1226498,CLX,7652,0,G,SBKP,SBPL
16379,1226515,TAM,4521,0,N,SBGR,SBJP
16380,1226540,TAM,3261,0,N,SBBR,SBJP
16381,1226552,TAM,3668,0,N,SBGR,SBEG
16382,1226559,TAM,3802,0,N,SBRF,SBFZ
16383,1226569,TAM,4625,0,N,SBRF,SBGR
16384,1226612,AZU,9460,6,N,SBCF,SBRJ
16385,1226735,TAM,4508,0,N,SBGR,SBGL
16386,1226818,AZU,9640,6,N,SBKP,SBBH
16387,1226832,AZU,4300,3,N,SBKP,SBKP
16388,1226902,AZU,9350,1,N,SBCF,SBVT
16389,1226974,TAM,3740,0,N,SBSP,SBCF
16390,1227081,MWM,9715,5,C,SBGL,SBPA
16391,1227275,AZU,6954,4,N,SBGR,SBCF
16392,1227332,MWM,9635,6,C,SBPA,SBGL
16393,1227364,ONE,9582,6,N,SBSP,SBGL
16394,1227480,GLO,1292,3,N,SBSP,SBSP
16395,1227601,PTB,2246,1,N,SBRJ,SBRP
16396,1227606,AZU,2632,3,N,SBKP,SBKP
16397,1227728,GLO,9757,0,N,SBGL,SBFI
16398,1227735,TAM,9196,0,N,SBRJ,SBGR
16399,1227866,AZU,9900,0,C,SBKP,SBFZ
16400,1227974,TAM,3852,0,N,SBGL,SBFZ
16401,1228007,AZU,4034,4,N,SBKP,SBCT
16402,1228025,AZU,9278,0,N,SBRF,SBSV
16403,1228036,AZU,9292,0,N,SBGR,SBBR
16404,1228084,TAM,9004,0,N,SBBR,SBRB
16405,1228110,TTL,5683,3,L,SBGL,SBGL
16406,1228182,LTG,6578,0,C,SBGR,SBKP
16407,1228327,LTG,6578,0,C,SBKP,SBEG
16408,1228402,AZU,4406,4,N,SBKP,SBLO
16409,1228416,TAM,3251,4,N,SBSP,SBLO
16410,1228504,TAM,3555,4,N,SBGL,SBVT
16411,1228630,MWM,9716,5,C,SBGL,SBRF
16412,1228847,GLO,1557,4,N,SBRF,SBGR
16413,1228948,TAM,3808,4,N,SBBR,SBGL
16414,1228949,MWM,9636,6,C,SBRF,SBGL
16415,1228958,ONE,6063,4,N,SBBR,SBGL
16416,1228985,TAM,3935,4,N,SBRJ,SBRP
16417,1228990,ONE,6011,4,N,SBRJ,SBGL
16418,1228991,AZU,5107,4,N,SBPA,SBAE
16419,1228998,AZU,2945,4,N,SBPA,SBSR
16420,1229007,AZU,4033,4,N,SBRJ,SBRP
16421,1229008,GLO,1223,4,N,SBPA,SBCT
16422,1229010,TAM,3223,4,N,SBCF,SBRP
16423,1229032,LTG,8430,0,G,SBKP,SBBE
16424,1229051,GLO,1067,3,N,SBGL,SBGL
16425,1229076,LTG,8421,1,G,SBCT,SBKP
16426,1229151,LTG,6560,0,C,SBGR,SBEG
16427,1229193,ONE,6171,4,N,SBBR,SBGL
16428,1229207,TAM,3725,4,N,SBBR,SBKP
16429,1229209,GLO,1225,4,N,SBPA,SBGL
16430,1229242,GLO,1571,4,N,SBGL,SBSP
16431,1229243,AZU,4320,4,N,SBKP,SBLO
16432,1229253,TAM,3795,4,N,SBCF,SBSP
16433,1229259,ONE,6063,4,N,SBGL,SBSP
16434,1229277,TAM,3122,4,N,SBGL,SBSP
16435,1229302,GLO,1089,3,N,SBRJ,SBRJ
16436,1229315,GLO,1223,4,N,SBCT,SBSP
16437,1229388,TAM,9425,6,N,SBKP,SBSP
16438,1229438,ONE,6171,4,N,SBGL,SBSP
16439,1229479,AZU,9000,1,N,SBKP,SBCT
16440,1229515,ONE,6065,4,N,SBGL,SBSP
16441,1229577,AZU,6978,3,N,SBKP,SBKP
16442,1229580,AZU,9000,1,N,SBCT,SBPA
16443,1229591,GLO,1225,4,N,SBGL,SBGR
16444,1229595,GLO,1461,4,N,SBBR,SBGR
16445,1229629,PTB,2262,4,N,SBGR,SBSR
16446,1229633,AZU,9350,1,N,SBCF,SBBR
16447,1229634,AZU,9641,6,N,SBCF,SBBE
16448,1229675,AZU,9061,0,N,SBKP,SBGL
16449,1229810,GLO,1701,3,N,SBCF,SBCF
16450,1229815,AZU,9062,0,N,SBGL,SBKP
16451,1229834,AZU,9065,0,N,SBKP,SBCA
16452,1229934,AZU,9057,0,N,SBGR,SBFL
16453,1230014,AZU,9206,0,N,SBKP,SBCF
16454,1230185,AZU,9059,0,N,SBGR,SBCF
16455,1230330,AZU,9060,0,N,SBCF,SBGR
16456,1230338,AZU,9063,0,N,SBKP,SBMG
16457,1230370,TAM,9000,2,N,SBSP,SBPJ
16458,1230394,AZU,9053,0,N,SBCT,SBCA
16459,1230410,GLO,1490,4,N,SBSP,SBCY
16460,1230428,AZU,9029,0,N,SBCF,SBCB
16461,1230437,AZU,9649,6,N,SBKP,SBCF
16462,1230505,TAM,9429,6,N,SBRJ,SBBR
16463,1230523,TAM,3559,4,N,SBGR,SBLO
16464,1230558,GLO,9015,0,N,SBPA,SBCT
16465,1230582,GLO,2048,0,N,SBGL,SBBR
16466,1230708,AZU,9071,0,N,SBRF,SBAR
16467,1230751,TAM,4622,0,N,SBGR,SBUL
16468,1230840,GLO,1461,3,N,SBBR,SBBR
16469,1230863,GLO,9006,0,N,SBRJ,SBPA
16470,1230872,GLO,9007,0,N,SBPA,SBRJ
16471,1230875,AZU,9067,0,N,SBKP,SBCT
16472,1230968,LTG,6577,0,C,SBBR,SBGR
16473,1231051,AZU,9224,0,N,SBGL,SBRF
16474,1231071,AZU,9068,0,N,SBCT,SBKP
16475,1231103,AZU,6947,0,N,SBCT,SBPA
16476,1231105,GLO,9032,0,N,SBCF,SBFZ
16477,1231135,GLO,9036,0,N,SBGL,SBMO
16478,1231169,TAM,4686,2,N,SBGR,SBFZ
16479,1231179,AZU,9043,0,N,SBCF,SBPS
16480,1231187,AZU,9077,0,N,SBKP,SBPS
16481,1231188,AZU,9039,0,N,SBCT,SBCY
16482,1231193,AZU,9022,0,N,SBGR,SBRF
16483,1231199,AZU,9041,0,N,SBKP,SBFZ
16484,1231200,AZU,9045,0,N,SBCF,SBIL
16485,1231207,AZU,9021,0,N,SBPA,SBCY
16486,1231212,GLO,9001,0,N,SBGR,SBCY
16487,1231213,GLO,9011,0,N,SBGR,SBGO
16488,1231221,GLO,9047,0,N,SBGR,SBSV
16489,1231234,AZU,9026,0,N,SBRF,SBGR
16490,1231240,GLO,9027,0,N,SBGL,SBFL
16491,1231283,GLO,9810,6,N,SBSP,SBGO
16492,1231301,AZU,9204,0,N,SBPA,SBGR
16493,1231518,AZU,9350,1,N,SBCF,SBPA
16494,1231553,AZU,9178,0,N,SBKP,SBCA
16495,1231656,AZU,4981,3,N,SBRF,SBRF
16496,1231852,GLO,9002,1,N,SBBR,SBTE
16497,1231905,AZU,9048,0,N,SBKP,SBCF
16498,1232291,TAM,9128,0,N,SBSP,SBPA
16499,1232298,TAM,9086,0,N,SBGR,SBFZ
16500,1232343,CLX,7645,0,G,SBKP,SBGL
16501,1232370,GLO,9770,1,N,SBBR,SBTE
16502,1232429,TAM,3187,0,N,SBPA,SBSP
16503,1232432,TAM,3731,0,N,SBPA,SBSP
16504,1232439,TAM,3152,0,N,SBSP,SBPA
16505,1232447,AZU,9642,6,N,SBCT,SBGR
16506,1232448,GLO,1072,0,N,SBSP,SBGL
16507,1232457,TAM,3433,0,N,SBPA,SBFZ
